layer,contrast,metric,mean,ci_low,ci_high
33,WQ - WK,delta_nll,-0.0013324152678251266,-0.002108365297317505,-0.0005822314880788336
33,WQ - WK,kl,-0.000245212368099601,-0.00029761199405129444,-0.00019432664228133948
33,WQ - WV,delta_nll,-0.0010676197707653046,-0.0017853792756795882,-0.00040440401062369347
33,WQ - WV,kl,0.00016697673618182307,0.00013057241581009292,0.0002049113239536382
33,WK - WV,delta_nll,0.0002647954970598221,-0.00041804448701441286,0.0009631098713725803
33,WK - WV,kl,0.0004121891042814241,0.00036991502086038965,0.00045889491275374883
34,WQ - WK,delta_nll,0.010464726015925407,0.008827590383589268,0.012112827878445385
34,WQ - WK,kl,-0.0002478025462551159,-0.0002808582763464074,-0.00021856901119008402
34,WQ - WV,delta_nll,0.007556771859526634,0.005998315894976259,0.009135201340541244
34,WQ - WV,kl,-9.99473058982403e-05,-0.00012438172116162604,-7.433518514972094e-05
34,WK - WV,delta_nll,-0.002907954156398773,-0.00373706566169858,-0.0020671521313488485
34,WK - WV,kl,0.00014785524035687558,0.00011302997336315457,0.00018495227202492968
35,WQ - WK,delta_nll,0.0033261850476264954,0.002781177870929241,0.0038844239898025985
35,WQ - WK,kl,5.490339162861346e-05,4.680236121430425e-05,6.339497745102562e-05
35,WQ - WV,delta_nll,0.01067870482802391,0.009909784235060216,0.011427531763911248
35,WQ - WV,kl,-0.0003615304058257607,-0.000379626417907275,-0.0003442760766347419
35,WK - WV,delta_nll,0.007352519780397415,0.006693820841610432,0.007965879421681166
35,WK - WV,kl,-0.00041643379745437414,-0.00043348752003566913,-0.0003994561346758019
